,k=10_Average-based_0,k=10_Average-based_1,k=10_Average-based_2,k=10_Average-based_3,k=10_Average-based_4,k=10_Average-based_5,k=10_Average-based_6,k=10_Average-based_7,k=10_Average-based_8,k=10_Average-based_9,k=10_Onehot-based_0,k=10_Onehot-based_1,k=10_Onehot-based_2,k=10_Onehot-based_3,k=10_Onehot-based_4,k=10_Onehot-based_5,k=10_Onehot-based_6,k=10_Onehot-based_7,k=10_Onehot-based_8,k=10_Onehot-based_9,k=10_wNMF-based_0,k=10_wNMF-based_1,k=10_wNMF-based_2,k=10_wNMF-based_3,k=10_wNMF-based_4,k=10_wNMF-based_5,k=10_wNMF-based_6,k=10_wNMF-based_7,k=10_wNMF-based_8,k=10_wNMF-based_9,k=11_Average-based_0,k=11_Average-based_1,k=11_Average-based_2,k=11_Average-based_3,k=11_Average-based_4,k=11_Average-based_5,k=11_Average-based_6,k=11_Average-based_7,k=11_Average-based_8,k=11_Average-based_9,k=11_Onehot-based_0,k=11_Onehot-based_1,k=11_Onehot-based_2,k=11_Onehot-based_3,k=11_Onehot-based_4,k=11_Onehot-based_5,k=11_Onehot-based_6,k=11_Onehot-based_7,k=11_Onehot-based_8,k=11_Onehot-based_9,k=11_wNMF-based_0,k=11_wNMF-based_1,k=11_wNMF-based_2,k=11_wNMF-based_3,k=11_wNMF-based_4,k=11_wNMF-based_5,k=11_wNMF-based_6,k=11_wNMF-based_7,k=11_wNMF-based_8,k=11_wNMF-based_9,k=12_Average-based_0,k=12_Average-based_1,k=12_Average-based_2,k=12_Average-based_3,k=12_Average-based_4,k=12_Average-based_5,k=12_Average-based_6,k=12_Average-based_7,k=12_Average-based_8,k=12_Average-based_9,k=12_Onehot-based_0,k=12_Onehot-based_1,k=12_Onehot-based_2,k=12_Onehot-based_3,k=12_Onehot-based_4,k=12_Onehot-based_5,k=12_Onehot-based_6,k=12_Onehot-based_7,k=12_Onehot-based_8,k=12_Onehot-based_9,k=12_wNMF-based_0,k=12_wNMF-based_1,k=12_wNMF-based_2,k=12_wNMF-based_3,k=12_wNMF-based_4,k=12_wNMF-based_5,k=12_wNMF-based_6,k=12_wNMF-based_7,k=12_wNMF-based_8,k=12_wNMF-based_9,k=13_Average-based_0,k=13_Average-based_1,k=13_Average-based_2,k=13_Average-based_3,k=13_Average-based_4,k=13_Average-based_5,k=13_Average-based_6,k=13_Average-based_7,k=13_Average-based_8,k=13_Average-based_9,k=13_Onehot-based_0,k=13_Onehot-based_1,k=13_Onehot-based_2,k=13_Onehot-based_3,k=13_Onehot-based_4,k=13_Onehot-based_5,k=13_Onehot-based_6,k=13_Onehot-based_7,k=13_Onehot-based_8,k=13_Onehot-based_9,k=13_wNMF-based_0,k=13_wNMF-based_1,k=13_wNMF-based_2,k=13_wNMF-based_3,k=13_wNMF-based_4,k=13_wNMF-based_5,k=13_wNMF-based_6,k=13_wNMF-based_7,k=13_wNMF-based_8,k=13_wNMF-based_9,k=14_Average-based_0,k=14_Average-based_1,k=14_Average-based_2,k=14_Average-based_3,k=14_Average-based_4,k=14_Average-based_5,k=14_Average-based_6,k=14_Average-based_7,k=14_Average-based_8,k=14_Average-based_9,k=14_Onehot-based_0,k=14_Onehot-based_1,k=14_Onehot-based_2,k=14_Onehot-based_3,k=14_Onehot-based_4,k=14_Onehot-based_5,k=14_Onehot-based_6,k=14_Onehot-based_7,k=14_Onehot-based_8,k=14_Onehot-based_9,k=14_wNMF-based_0,k=14_wNMF-based_1,k=14_wNMF-based_2,k=14_wNMF-based_3,k=14_wNMF-based_4,k=14_wNMF-based_5,k=14_wNMF-based_6,k=14_wNMF-based_7,k=14_wNMF-based_8,k=14_wNMF-based_9,k=15_Average-based_0,k=15_Average-based_1,k=15_Average-based_2,k=15_Average-based_3,k=15_Average-based_4,k=15_Average-based_5,k=15_Average-based_6,k=15_Average-based_7,k=15_Average-based_8,k=15_Average-based_9,k=15_Onehot-based_0,k=15_Onehot-based_1,k=15_Onehot-based_2,k=15_Onehot-based_3,k=15_Onehot-based_4,k=15_Onehot-based_5,k=15_Onehot-based_6,k=15_Onehot-based_7,k=15_Onehot-based_8,k=15_Onehot-based_9,k=15_wNMF-based_0,k=15_wNMF-based_1,k=15_wNMF-based_2,k=15_wNMF-based_3,k=15_wNMF-based_4,k=15_wNMF-based_5,k=15_wNMF-based_6,k=15_wNMF-based_7,k=15_wNMF-based_8,k=15_wNMF-based_9,k=16_Average-based_0,k=16_Average-based_1,k=16_Average-based_2,k=16_Average-based_3,k=16_Average-based_4,k=16_Average-based_5,k=16_Average-based_6,k=16_Average-based_7,k=16_Average-based_8,k=16_Average-based_9,k=16_Onehot-based_0,k=16_Onehot-based_1,k=16_Onehot-based_2,k=16_Onehot-based_3,k=16_Onehot-based_4,k=16_Onehot-based_5,k=16_Onehot-based_6,k=16_Onehot-based_7,k=16_Onehot-based_8,k=16_Onehot-based_9,k=16_wNMF-based_0,k=16_wNMF-based_1,k=16_wNMF-based_2,k=16_wNMF-based_3,k=16_wNMF-based_4,k=16_wNMF-based_5,k=16_wNMF-based_6,k=16_wNMF-based_7,k=16_wNMF-based_8,k=16_wNMF-based_9,k=17_Average-based_0,k=17_Average-based_1,k=17_Average-based_2,k=17_Average-based_3,k=17_Average-based_4,k=17_Average-based_5,k=17_Average-based_6,k=17_Average-based_7,k=17_Average-based_8,k=17_Average-based_9,k=17_Onehot-based_0,k=17_Onehot-based_1,k=17_Onehot-based_2,k=17_Onehot-based_3,k=17_Onehot-based_4,k=17_Onehot-based_5,k=17_Onehot-based_6,k=17_Onehot-based_7,k=17_Onehot-based_8,k=17_Onehot-based_9,k=17_wNMF-based_0,k=17_wNMF-based_1,k=17_wNMF-based_2,k=17_wNMF-based_3,k=17_wNMF-based_4,k=17_wNMF-based_5,k=17_wNMF-based_6,k=17_wNMF-based_7,k=17_wNMF-based_8,k=17_wNMF-based_9,k=18_Average-based_0,k=18_Average-based_1,k=18_Average-based_2,k=18_Average-based_3,k=18_Average-based_4,k=18_Average-based_5,k=18_Average-based_6,k=18_Average-based_7,k=18_Average-based_8,k=18_Average-based_9,k=18_Onehot-based_0,k=18_Onehot-based_1,k=18_Onehot-based_2,k=18_Onehot-based_3,k=18_Onehot-based_4,k=18_Onehot-based_5,k=18_Onehot-based_6,k=18_Onehot-based_7,k=18_Onehot-based_8,k=18_Onehot-based_9,k=18_wNMF-based_0,k=18_wNMF-based_1,k=18_wNMF-based_2,k=18_wNMF-based_3,k=18_wNMF-based_4,k=18_wNMF-based_5,k=18_wNMF-based_6,k=18_wNMF-based_7,k=18_wNMF-based_8,k=18_wNMF-based_9,k=19_Average-based_0,k=19_Average-based_1,k=19_Average-based_2,k=19_Average-based_3,k=19_Average-based_4,k=19_Average-based_5,k=19_Average-based_6,k=19_Average-based_7,k=19_Average-based_8,k=19_Average-based_9,k=19_Onehot-based_0,k=19_Onehot-based_1,k=19_Onehot-based_2,k=19_Onehot-based_3,k=19_Onehot-based_4,k=19_Onehot-based_5,k=19_Onehot-based_6,k=19_Onehot-based_7,k=19_Onehot-based_8,k=19_Onehot-based_9,k=19_wNMF-based_0,k=19_wNMF-based_1,k=19_wNMF-based_2,k=19_wNMF-based_3,k=19_wNMF-based_4,k=19_wNMF-based_5,k=19_wNMF-based_6,k=19_wNMF-based_7,k=19_wNMF-based_8,k=19_wNMF-based_9,k=20_Average-based_0,k=20_Average-based_1,k=20_Average-based_2,k=20_Average-based_3,k=20_Average-based_4,k=20_Average-based_5,k=20_Average-based_6,k=20_Average-based_7,k=20_Average-based_8,k=20_Average-based_9,k=20_Onehot-based_0,k=20_Onehot-based_1,k=20_Onehot-based_2,k=20_Onehot-based_3,k=20_Onehot-based_4,k=20_Onehot-based_5,k=20_Onehot-based_6,k=20_Onehot-based_7,k=20_Onehot-based_8,k=20_Onehot-based_9,k=20_wNMF-based_0,k=20_wNMF-based_1,k=20_wNMF-based_2,k=20_wNMF-based_3,k=20_wNMF-based_4,k=20_wNMF-based_5,k=20_wNMF-based_6,k=20_wNMF-based_7,k=20_wNMF-based_8,k=20_wNMF-based_9
667,2,7,1,0,0,3,3,2,5,5,6,3,1,3,2,2,2,7,0,0,2,2,7,0,0,1,2,1,0,0,0,0,9,2,8,4,1,0,1,3,1,1,2,5,2,1,5,1,9,2,8,1,2,10,4,2,1,10,10,5,2,2,1,1,1,10,0,0,4,2,1,6,2,1,2,8,4,7,4,5,1,1,9,5,4,1,1,1,2,1,1,1,2,8,8,1,2,2,12,4,9,7,1,1,10,1,4,0,0,8,10,9,1,3,3,8,7,1,11,1,1,9,0,1,2,0,1,2,2,1,4,1,1,11,4,0,3,1,7,1,1,9,13,11,13,5,9,13,13,0,2,10,9,2,2,14,8,0,1,10,2,6,12,13,13,4,6,5,12,0,1,14,2,10,2,9,14,12,2,1,4,12,7,12,13,15,9,1,9,12,12,15,0,14,15,4,3,0,13,1,10,1,0,5,13,4,8,6,7,11,15,10,12,4,7,16,16,5,11,1,0,0,3,1,1,3,5,1,1,1,0,12,9,16,10,15,10,7,15,12,4,16,10,11,17,0,5,3,11,10,13,15,2,8,17,17,0,10,6,3,14,4,13,6,13,10,10,4,12,7,8,8,2,8,5,10,15,5,12,5,9,0,0,2,13,1,11,15,1,2,11,0,6,15,1,7,15,16,6,11,10,4,8,16,19,2,15,9,6,1,1,10,5,3,2,0,15,6,11,4,4,19,1,1,5,9,10,6,13,11
668,9,9,8,9,2,6,2,1,8,8,7,8,2,7,7,8,0,8,8,5,3,1,8,7,3,8,9,9,4,9,10,1,8,8,10,1,2,9,3,4,9,4,7,10,7,8,3,10,5,10,7,2,0,5,7,9,2,1,4,10,4,8,3,11,8,8,11,8,9,8,4,9,9,11,8,7,0,0,5,11,9,11,10,1,9,9,9,6,1,7,4,12,1,7,9,10,11,12,9,1,12,0,12,11,0,11,11,4,9,0,11,12,2,11,9,10,11,0,10,7,9,13,1,9,11,10,12,1,1,7,5,13,5,8,0,8,1,7,0,9,13,13,8,6,11,6,13,8,4,1,1,5,8,11,13,7,13,7,0,0,9,8,6,8,11,3,4,4,11,4,3,0,1,0,1,10,0,1,13,8,11,0,0,14,0,0,11,10,12,4,10,13,3,6,3,5,7,15,9,14,0,7,4,1,0,10,13,14,15,9,16,15,0,5,8,7,11,3,1,15,10,5,16,3,4,10,13,14,16,11,1,9,0,2,14,8,15,2,13,10,0,17,16,0,13,17,2,0,12,14,14,13,10,9,14,3,9,7,17,11,9,6,1,0,15,12,0,1,0,1,15,0,15,11,15,15,7,3,15,17,14,14,15,5,8,0,14,0,4,15,13,17,18,10,18,15,11,14,5,6,14,13,13,18,15,14,19,13,17,4,19,18,19,4,8,14,6,11,9,5,12,8,14,0,18,5,16,18,17,17
669,3,8,5,4,8,4,7,4,0,9,1,9,5,4,4,3,1,3,3,2,5,5,3,6,4,7,5,2,5,5,9,5,3,4,2,9,0,7,5,2,8,9,3,4,3,9,4,2,3,4,6,4,9,6,10,6,0,2,9,3,7,7,2,8,9,5,3,1,11,5,5,5,4,10,0,0,2,1,2,7,7,0,7,4,2,0,8,5,3,6,6,3,4,0,2,3,0,10,6,12,5,6,5,3,6,3,3,8,3,4,8,8,3,8,4,7,5,12,6,8,11,4,4,3,7,9,7,12,5,4,9,3,10,7,3,3,8,9,1,6,6,12,10,3,7,0,8,6,9,9,4,3,6,7,5,13,4,8,6,3,8,9,0,4,9,2,0,13,2,8,4,3,3,9,4,7,3,8,5,4,7,6,6,7,11,2,0,6,4,8,7,11,1,5,6,9,2,14,10,0,13,10,5,6,12,6,7,4,3,7,5,5,8,8,9,12,9,7,3,12,5,8,9,15,2,0,7,4,2,7,11,6,8,15,4,0,14,5,10,9,6,5,3,7,7,6,9,10,8,6,1,3,4,2,12,7,14,16,9,4,6,5,6,5,5,0,9,5,2,6,0,4,7,9,9,6,9,8,8,7,7,5,5,3,14,7,7,2,9,8,14,6,7,13,6,8,4,5,11,10,4,3,5,0,4,7,5,10,7,3,8,11,3,6,7,3,4,12,2,2,10,5,10,7,15,15,5,5,5,3
670,6,6,3,7,7,8,0,9,7,0,4,5,0,5,6,0,3,6,6,9,8,7,6,2,8,5,0,4,6,2,4,2,5,5,3,0,5,8,4,5,5,5,6,9,9,0,9,5,8,1,4,6,8,0,8,0,3,9,2,6,2,1,1,1,1,2,6,0,4,9,1,6,2,1,2,8,4,7,4,5,1,1,9,5,4,1,1,1,2,1,9,7,9,2,1,0,5,9,12,7,9,7,1,1,10,1,4,0,0,8,10,9,1,3,1,8,7,8,11,3,4,12,13,12,4,6,11,8,10,6,1,4,12,2,13,7,2,4,5,2,11,6,4,10,0,4,11,0,12,6,9,0,4,6,6,1,14,14,9,6,13,13,2,11,4,8,3,2,4,3,6,1,8,1,7,2,6,5,7,7,9,7,4,11,5,5,7,4,6,11,8,3,11,4,5,1,13,6,11,9,14,3,9,0,3,5,4,7,10,13,11,4,2,3,5,10,5,15,13,2,1,9,4,2,3,2,1,3,6,3,4,0,2,4,1,2,4,9,3,3,14,3,9,10,2,2,8,6,4,4,6,2,5,6,3,9,2,4,7,5,17,8,12,2,14,13,7,6,5,9,4,6,8,2,4,4,8,6,3,9,4,6,12,8,5,5,1,11,10,1,6,2,8,7,5,9,6,6,14,4,15,2,19,8,16,8,6,4,9,11,2,1,1,2,3,7,10,0,3,1,2,4,3,3,9,3,1,1,1,5
671,1,9,0,2,6,9,8,1,8,6,9,0,9,2,8,1,9,2,2,6,3,9,4,1,1,6,3,0,9,1,3,10,0,8,4,10,9,10,7,8,3,7,0,3,1,10,8,9,7,8,1,10,10,5,3,1,9,0,4,0,4,8,3,11,8,8,11,8,9,8,4,9,9,11,8,7,0,0,5,11,9,11,10,1,9,9,9,6,1,7,4,12,1,7,9,10,11,12,9,1,12,2,12,11,0,11,11,11,9,0,11,12,2,11,9,10,11,0,10,7,5,3,2,8,8,12,0,4,11,13,11,0,4,1,2,1,4,2,0,12,7,2,1,0,2,13,7,7,3,1,13,5,8,11,10,7,13,7,11,0,0,8,6,8,11,3,4,4,11,4,12,9,5,12,6,13,0,13,11,0,6,4,11,1,14,8,15,5,15,7,14,9,2,3,0,7,6,11,9,12,6,15,7,1,14,11,14,10,13,9,7,12,13,11,11,6,12,11,10,10,15,13,13,7,14,7,2,9,0,8,10,7,10,11,6,9,9,12,2,16,3,2,13,3,11,9,10,12,16,0,15,11,3,9,14,14,15,6,5,13,12,12,17,15,16,15,17,2,16,16,13,0,11,7,12,8,10,1,17,2,12,15,4,15,12,11,8,0,18,7,10,13,15,6,11,5,3,12,3,8,19,8,1,9,13,9,16,12,12,16,5,13,16,12,15,8,11,17,14,16,13,12,14,19,8,5,17,18,6,14
672,4,9,8,9,2,2,1,1,8,4,7,6,3,0,0,7,4,5,4,3,3,1,8,7,3,8,9,9,4,9,8,10,7,1,0,3,9,10,7,8,6,7,0,3,1,10,1,6,7,8,0,5,3,5,3,1,5,5,4,2,8,11,10,0,4,1,1,2,2,7,10,7,0,6,5,10,10,5,5,11,11,9,11,2,10,8,4,0,1,5,8,6,1,5,7,6,12,4,0,11,5,6,5,3,6,3,2,8,3,4,9,6,10,11,5,6,2,7,4,7,6,3,1,9,0,1,9,3,3,7,6,8,9,10,1,11,0,11,9,12,13,13,8,6,11,6,13,8,4,1,1,1,11,3,9,0,9,3,0,11,12,0,3,12,6,11,13,3,6,7,3,11,1,2,0,3,1,1,13,3,6,4,11,1,1,8,15,5,15,7,10,14,2,3,3,7,1,10,9,11,0,5,7,1,4,14,1,1,13,2,16,3,4,9,8,1,6,1,8,14,13,12,7,9,8,15,0,10,12,4,5,16,15,12,8,13,15,0,16,8,17,15,4,16,10,16,6,11,5,8,8,11,8,1,9,10,3,17,3,0,8,3,3,0,7,1,2,16,9,12,16,17,16,17,13,2,14,11,5,3,3,16,2,7,12,0,8,13,7,13,18,14,1,6,16,1,16,12,2,2,5,17,1,7,1,0,16,17,14,16,0,17,10,13,11,11,19,15,16,17,16,17,15,13,10,1,15,17,9,19
673,7,3,6,5,9,7,6,7,4,4,3,6,3,0,0,7,4,5,4,3,0,8,9,8,5,4,6,7,1,3,6,6,6,6,9,5,4,4,10,0,4,2,8,6,4,2,6,7,0,6,3,8,4,9,5,5,6,6,5,7,10,6,5,5,5,0,7,6,6,0,2,3,8,7,9,5,6,8,3,0,5,10,4,7,3,6,5,7,4,11,2,5,8,9,6,5,1,3,8,5,7,5,10,7,3,9,9,5,4,5,5,7,4,6,10,11,0,4,9,11,8,6,8,13,5,4,10,7,9,5,3,6,8,12,11,9,5,5,6,4,4,5,7,4,9,1,10,5,7,10,6,6,1,10,4,8,6,10,8,5,3,2,10,5,0,6,5,12,0,5,8,8,10,5,3,5,11,6,0,6,5,8,13,6,3,6,6,8,5,5,5,12,7,10,11,0,15,5,8,4,1,6,1,4,6,0,6,8,6,6,2,9,6,13,4,0,3,6,4,3,9,6,1,0,15,5,4,12,3,9,7,10,5,9,9,5,5,6,5,2,12,11,6,6,5,5,3,5,10,7,17,16,11,15,7,1,7,5,8,16,13,7,5,3,3,7,4,3,3,3,7,7,6,6,10,17,3,7,6,18,6,4,10,4,1,3,15,7,8,18,7,9,5,8,0,16,9,8,7,5,3,9,6,10,7,16,4,15,4,5,16,3,8,14,4,9,16,7,8,10,7,6,6,6,17,7,9,11,2,7
674,4,2,9,1,3,2,1,8,1,2,0,2,7,9,9,6,7,9,7,1,9,0,1,9,7,3,1,5,3,4,1,4,4,7,7,2,7,6,8,6,10,3,9,8,8,4,7,0,6,9,9,0,5,7,1,10,10,7,0,9,11,10,0,9,0,11,8,10,8,11,0,2,11,0,10,6,8,10,8,9,0,8,1,10,8,5,11,9,9,10,8,0,12,6,0,12,8,1,11,8,11,12,9,0,7,12,5,6,8,10,0,11,12,12,5,2,12,9,12,10,0,10,7,7,10,7,8,11,0,8,0,10,11,6,12,6,6,10,11,8,0,7,12,7,6,9,6,9,8,12,14,4,14,9,12,9,7,1,14,1,14,7,9,10,2,10,9,6,13,11,14,12,7,8,11,12,13,11,1,10,3,13,10,10,12,7,10,0,11,13,4,7,8,11,0,13,8,7,15,6,11,13,3,11,8,7,9,0,12,10,9,0,16,10,10,5,8,12,6,7,16,15,8,8,0,9,12,8,11,13,8,1,11,6,0,14,12,11,6,6,9,1,12,5,1,10,12,17,7,12,12,14,9,12,0,13,17,11,10,7,7,16,0,9,8,2,8,9,10,13,10,15,13,10,14,16,18,4,9,10,8,18,8,11,0,9,6,16,12,10,0,5,9,14,10,6,7,0,9,9,8,19,7,13,14,11,11,16,0,9,10,8,18,17,0,1,8,9,5,9,9,9,13,16,0,13,13,8,12,9
675,8,5,2,6,5,5,9,3,9,1,2,7,8,6,3,5,8,9,9,8,7,4,2,5,9,9,8,8,7,8,0,0,9,2,8,4,1,0,1,3,1,8,2,2,2,1,5,1,4,2,8,10,2,10,4,2,1,10,10,5,9,9,9,3,10,2,10,11,1,9,7,11,7,4,11,1,3,3,7,3,6,2,0,3,1,11,7,11,6,8,9,7,9,2,1,0,5,9,12,7,6,3,6,10,4,5,0,9,10,2,10,9,1,3,1,8,7,8,11,3,12,0,9,6,13,8,5,9,13,0,2,9,0,4,9,12,9,6,10,7,12,10,0,1,1,12,5,3,6,13,12,10,13,2,2,14,8,0,12,10,2,6,12,12,14,4,6,5,1,10,1,5,6,10,14,9,10,7,14,14,0,1,2,8,9,11,2,11,1,9,0,10,0,12,15,4,10,4,13,1,10,1,0,5,7,4,8,9,7,11,12,11,9,14,16,1,2,1,2,4,8,7,0,11,10,12,8,16,8,14,9,11,6,0,16,7,1,16,8,13,16,4,14,12,15,1,15,16,6,15,9,11,12,7,2,0,16,17,16,8,4,14,16,1,11,11,11,8,11,14,17,12,12,5,7,0,11,16,11,8,17,3,17,17,6,10,5,18,15,12,5,7,4,5,8,13,13,13,13,16,2,5,10,17,6,5,2,2,19,0,14,9,6,15,18,12,7,6,6,15,18,10,16,11,19,0,19,16,7,4
676,2,1,1,0,0,3,3,6,2,5,6,3,1,3,2,2,2,7,0,0,2,2,7,0,0,1,2,1,0,0,1,4,4,7,7,2,7,6,8,6,10,3,9,8,8,4,7,0,6,9,9,0,5,7,1,10,10,7,0,9,10,6,5,5,5,0,7,6,6,0,2,3,8,7,9,10,6,8,3,0,11,8,11,2,10,5,0,0,10,5,2,5,8,9,6,5,12,3,8,5,7,5,10,7,3,9,9,5,4,5,5,7,4,6,10,11,9,4,9,11,6,9,12,10,0,1,13,3,3,1,4,1,1,11,1,0,0,1,4,1,8,4,13,11,13,5,12,13,13,2,1,13,13,3,9,1,14,9,12,6,14,7,3,1,2,10,9,6,8,11,3,0,6,2,14,6,1,5,13,3,6,4,11,10,14,12,10,0,11,13,4,7,10,13,10,10,6,7,15,6,11,13,3,11,8,7,9,0,4,2,9,0,16,0,8,5,8,12,6,7,16,15,8,8,0,9,15,8,11,13,8,1,11,6,8,14,15,11,6,6,3,15,4,16,10,16,11,11,5,8,8,0,8,1,16,14,6,6,3,10,2,3,3,0,7,1,2,16,9,12,1,9,15,4,2,9,10,11,5,3,0,15,18,18,12,0,8,0,18,14,18,14,0,6,11,17,16,12,1,13,9,17,12,15,18,13,13,18,13,14,12,0,14,11,14,6,17,4,17,13,19,16,18,4,6,19,11,0,16,18
677,3,8,5,4,8,4,7,4,0,9,1,9,5,4,4,3,1,3,3,2,5,5,3,6,4,7,5,2,5,5,9,5,3,4,2,9,0,7,5,2,8,9,3,4,3,9,4,2,3,4,6,4,9,6,10,6,0,2,9,3,7,7,2,8,9,5,3,1,11,5,5,5,4,10,0,0,2,1,2,7,7,0,7,4,2,0,8,5,3,6,6,3,4,0,2,3,0,10,6,12,5,6,5,3,6,3,3,8,3,4,8,8,3,8,4,7,5,12,6,8,11,4,4,3,7,9,7,12,5,4,9,3,10,7,3,3,8,9,1,6,6,12,10,3,7,0,8,6,9,9,4,3,6,7,5,13,4,8,6,3,8,9,0,4,9,2,0,13,2,8,4,3,3,9,4,7,3,8,5,4,7,6,6,7,11,2,0,6,4,8,7,11,1,5,6,9,2,14,10,0,13,10,5,6,12,6,7,4,3,7,5,5,8,8,9,12,9,7,3,12,5,8,9,15,2,0,7,4,2,7,11,6,8,15,4,0,14,5,10,9,6,5,3,7,7,6,9,10,8,6,1,3,4,2,12,7,14,16,9,4,6,5,6,5,5,0,9,5,2,6,0,4,7,9,9,6,9,8,8,7,7,5,5,3,14,7,7,2,9,8,14,6,7,13,6,8,4,5,11,10,4,3,5,0,4,7,5,10,7,3,8,11,3,6,7,3,4,12,2,2,10,5,10,7,15,15,5,5,5,3
678,1,9,0,2,6,9,8,1,8,6,8,7,8,8,3,5,5,0,1,4,1,9,4,1,1,6,3,0,9,1,10,1,8,8,4,1,2,9,3,8,3,10,10,8,10,6,1,6,10,5,7,2,0,5,7,9,5,1,4,10,8,11,10,0,4,1,1,2,2,7,4,0,0,2,11,10,11,11,0,10,11,9,11,2,10,5,4,0,10,5,8,0,1,7,7,12,12,1,0,11,10,4,8,0,9,8,12,9,11,7,0,6,2,11,5,6,9,7,4,7,5,3,10,8,8,12,0,4,11,12,12,11,9,1,1,13,13,11,12,13,7,8,6,9,12,11,7,2,3,3,1,14,11,3,9,0,9,3,0,8,0,7,14,12,3,13,12,0,7,13,3,0,1,2,6,3,1,1,13,3,6,4,11,10,14,12,10,5,11,7,4,5,10,13,10,10,6,10,15,6,11,13,3,11,8,7,9,0,4,2,13,1,15,15,13,14,13,14,15,9,7,16,2,5,9,16,15,0,5,10,16,15,16,13,14,1,16,15,14,7,3,2,13,3,11,9,11,12,16,0,15,0,10,16,14,14,10,0,5,10,12,12,17,15,16,15,17,2,16,16,5,9,18,4,2,9,10,15,13,15,0,15,18,18,12,15,10,0,18,14,18,14,0,6,11,17,17,12,1,13,9,17,12,15,18,13,13,18,13,14,12,0,14,11,14,6,17,17,17,13,19,16,18,4,6,19,11,0,16,18
679,0,0,7,8,1,1,4,0,3,3,9,0,6,2,8,1,9,2,2,6,4,3,0,4,6,2,7,6,2,7,3,10,0,1,4,3,10,10,7,1,1,8,1,2,2,1,5,9,4,2,1,10,10,5,3,1,9,0,4,0,8,11,11,2,4,1,1,2,2,7,3,1,5,8,3,4,7,6,7,8,8,7,5,8,11,2,6,10,5,2,12,6,5,10,7,10,10,7,0,1,6,3,6,10,4,5,0,9,1,2,6,1,11,0,12,4,2,10,0,9,5,2,2,8,1,12,6,4,11,13,11,5,13,3,7,2,4,8,3,3,7,2,1,0,2,13,7,7,3,3,10,2,2,1,1,2,5,4,10,4,10,12,3,14,1,1,2,1,3,1,2,2,11,0,1,10,5,2,3,8,13,15,14,4,15,8,1,13,3,0,11,9,4,12,2,8,12,12,4,5,8,12,12,14,10,12,12,13,0,15,12,11,9,14,16,1,2,1,2,4,8,7,0,11,10,12,8,16,8,14,9,14,6,0,16,7,1,16,16,13,17,13,17,17,3,15,6,7,13,3,9,5,12,7,2,0,16,17,2,6,8,2,14,13,6,1,15,16,14,17,13,12,15,7,7,0,11,16,11,2,17,3,17,17,6,10,5,18,15,12,5,7,4,5,8,13,13,13,13,16,5,12,1,1,13,9,16,3,12,16,14,9,6,0,9,12,7,4,6,15,17,2,15,13,8,17,15,2,8,14
680,2,7,1,0,0,3,3,2,5,5,6,3,1,3,2,2,2,7,0,0,2,2,7,0,0,1,2,1,0,0,0,0,9,2,8,4,1,0,1,3,1,8,2,2,2,1,5,1,4,2,8,10,2,10,4,2,1,10,10,5,2,2,1,1,1,10,0,0,4,2,1,6,2,1,2,8,4,7,4,5,1,1,9,5,4,1,1,1,2,1,9,7,9,2,1,0,5,9,12,7,6,7,1,12,4,5,4,0,0,2,10,9,1,3,1,8,7,8,11,3,1,9,0,1,2,0,1,2,2,1,4,1,1,11,4,0,3,1,7,1,1,9,13,11,13,5,9,13,13,0,12,13,13,4,0,6,1,13,12,11,2,4,3,12,14,4,6,14,1,10,5,5,6,6,14,3,10,7,14,14,0,1,1,8,9,1,5,11,1,9,1,2,5,1,4,12,14,13,2,13,14,8,6,2,7,14,1,9,1,13,15,10,9,4,7,1,16,1,2,1,0,7,0,1,1,12,5,16,8,1,9,11,6,0,16,7,1,0,8,13,4,16,10,11,17,0,5,3,11,15,13,15,2,8,17,0,0,10,6,3,1,4,13,1,13,10,10,8,11,14,1,17,16,17,13,0,11,11,5,3,6,3,17,1,1,0,15,18,15,18,18,8,1,5,8,13,16,2,13,15,2,5,10,17,6,5,2,2,19,0,14,9,6,15,18,12,7,6,6,15,18,10,16,11,19,0,19,16,7,4
